codepoint,supported
U+1CC00,no
U+1CC01,no
U+1CC02,no
U+1CC03,no
U+1CC04,no
U+1CC05,no
U+1CC06,no
U+1CC07,no
U+1CC08,no
U+1CC09,no
U+1CC0A,no
U+1CC0B,no
U+1CC0C,no
U+1CC0D,no
U+1CC0E,no
U+1CC0F,no
U+1CC10,no
U+1CC11,no
U+1CC12,no
U+1CC13,no
U+1CC14,no
U+1CC15,no
U+1CC16,no
U+1CC17,no
U+1CC18,no
U+1CC19,no
U+1CC1A,no
U+1CC1B,no
U+1CC1C,no
U+1CC1D,no
U+1CC1E,no
U+1CC1F,no
U+1CC20,no
U+1CC21,no
U+1CC22,no
U+1CC23,no
U+1CC24,no
U+1CC25,no
U+1CC26,no
U+1CC27,no
U+1CC28,no
U+1CC29,no
U+1CC2A,no
U+1CC2B,no
U+1CC2C,no
U+1CC2D,no
U+1CC2E,no
U+1CC2F,no
U+1CC30,no
U+1CC31,no
U+1CC32,no
U+1CC33,no
U+1CC34,no
U+1CC35,no
U+1CC36,no
U+1CC37,no
U+1CC38,no
U+1CC39,no
U+1CC3A,no
U+1CC3B,no
U+1CC3C,no
U+1CC3D,no
U+1CC3E,no
U+1CC3F,no
U+1CC40,no
U+1CC41,no
U+1CC42,no
U+1CC43,no
U+1CC44,no
U+1CC45,no
U+1CC46,no
U+1CC47,no
U+1CC48,no
U+1CC49,no
U+1CC4A,no
U+1CC4B,no
U+1CC4C,no
U+1CC4D,no
U+1CC4E,no
U+1CC4F,no
U+1CC50,no
U+1CC51,no
U+1CC52,no
U+1CC53,no
U+1CC54,no
U+1CC55,no
U+1CC56,no
U+1CC57,no
U+1CC58,no
U+1CC59,no
U+1CC5A,no
U+1CC5B,no
U+1CC5C,no
U+1CC5D,no
U+1CC5E,no
U+1CC5F,no
U+1CC60,no
U+1CC61,no
U+1CC62,no
U+1CC63,no
U+1CC64,no
U+1CC65,no
U+1CC66,no
U+1CC67,no
U+1CC68,no
U+1CC69,no
U+1CC6A,no
U+1CC6B,no
U+1CC6C,no
U+1CC6D,no
U+1CC6E,no
U+1CC6F,no
U+1CC70,no
U+1CC71,no
U+1CC72,no
U+1CC73,no
U+1CC74,no
U+1CC75,no
U+1CC76,no
U+1CC77,no
U+1CC78,no
U+1CC79,no
U+1CC7A,no
U+1CC7B,no
U+1CC7C,no
U+1CC7D,no
U+1CC7E,no
U+1CC7F,no
U+1CC80,no
U+1CC81,no
U+1CC82,no
U+1CC83,no
U+1CC84,no
U+1CC85,no
U+1CC86,no
U+1CC87,no
U+1CC88,no
U+1CC89,no
U+1CC8A,no
U+1CC8B,no
U+1CC8C,no
U+1CC8D,no
U+1CC8E,no
U+1CC8F,no
U+1CC90,no
U+1CC91,no
U+1CC92,no
U+1CC93,no
U+1CC94,no
U+1CC95,no
U+1CC96,no
U+1CC97,no
U+1CC98,no
U+1CC99,no
U+1CC9A,no
U+1CC9B,no
U+1CC9C,no
U+1CC9D,no
U+1CC9E,no
U+1CC9F,no
U+1CCA0,no
U+1CCA1,no
U+1CCA2,no
U+1CCA3,no
U+1CCA4,no
U+1CCA5,no
U+1CCA6,no
U+1CCA7,no
U+1CCA8,no
U+1CCA9,no
U+1CCAA,no
U+1CCAB,no
U+1CCAC,no
U+1CCAD,no
U+1CCAE,no
U+1CCAF,no
U+1CCB0,no
U+1CCB1,no
U+1CCB2,no
U+1CCB3,no
U+1CCB4,no
U+1CCB5,no
U+1CCB6,no
U+1CCB7,no
U+1CCB8,no
U+1CCB9,no
U+1CCBA,no
U+1CCBB,no
U+1CCBC,no
U+1CCBD,no
